sample,super_pop,PC1,PC2,afr_score
HG00096,EUR,-10.367252190528458,15.822410596926384,0.0
HG00097,EUR,-7.210568160949245,10.275529174845476,0.05601488184727315
HG00099,EUR,-8.248537275302231,14.403910113248246,0.0
HG00100,EUR,-10.92903716806015,11.782601104298495,0.0
HG00101,EUR,-9.884455112687531,14.647175477567039,0.0
HG00102,EUR,-9.633056782106838,11.522096722866717,0.0
HG00103,EUR,-9.930486802487284,13.439356484926614,0.0
HG00105,EUR,-10.065806612562254,15.279093198234513,0.0
HG00106,EUR,-11.38442662079615,12.79321365030339,0.0
HG00107,EUR,-8.201174372295112,13.83082295420619,0.0028975368856234596
HG00108,EUR,-10.970706237533463,12.11845416701222,0.0
HG00109,EUR,-8.151169613106195,14.162141158639793,0.00995490035894548
HG00110,EUR,-9.308114467054091,13.140523336312068,0.0
HG00111,EUR,-9.164645013638491,12.026777915221334,0.006153355774661732
HG00112,EUR,-6.439541340328413,11.796523018919364,0.048256120152464076
HG00113,EUR,-7.762263779321485,15.543476784599356,0.0
HG00114,EUR,-6.935220624059231,14.039376264401923,0.020200401884579045
HG00115,EUR,-7.7796861743000285,12.417023828046542,0.014934982080227055
HG00116,EUR,-9.524406004631556,13.770135274451121,0.0
HG00117,EUR,-10.075426991362328,13.275662280712272,0.0
HG00118,EUR,-7.694746830853932,13.98041310777861,0.010604535159696147
HG00119,EUR,-7.4856422597955605,11.697298743383586,0.042123276612814335
HG00120,EUR,-8.113942056567273,16.573184695469532,0.0
HG00121,EUR,-9.434782008791414,13.814115931305622,0.0
HG00122,EUR,-8.519136536285945,12.492981684151127,0.004191917489197297
HG00123,EUR,-8.524461507520753,11.38073143963915,0.007990583595654726
HG00125,EUR,-8.317038901134747,11.21077949164033,0.017659597888699478
HG00126,EUR,-9.48300199957801,10.487933859015405,0.007345720358803347
HG00127,EUR,-9.950870089309788,11.8552589193685,0.0
HG00128,EUR,-7.341033280146306,15.965825070111347,0.0020085971628310845
HG00129,EUR,-11.197177828460761,13.064594442835816,0.0
HG00130,EUR,-10.933965533045845,14.69278200282386,0.0
HG00131,EUR,-8.622034938142455,15.492802556540173,0.0
HG00132,EUR,-10.334777596433828,8.157290399968952,0.004219636855742315
HG00133,EUR,-7.421120076403784,14.528805120747355,0.015949939497103504
HG00136,EUR,-8.902080834743774,13.698830397434827,0.0
HG00137,EUR,-8.076853399729776,12.791711032062913,0.018278978852749334
HG00138,EUR,-11.182837481596957,10.287366447718572,0.0
HG00139,EUR,-6.639536047835685,16.468148285413914,0.012637544375654643
HG00140,EUR,-8.985938048694987,13.435043538611964,0.0
HG00141,EUR,-9.143025727672734,17.81021148319234,0.0
HG00142,EUR,-9.38157564621983,16.143205943041842,0.0
HG00143,EUR,-6.711678348411987,15.062827168116753,0.038672655000006204
HG00145,EUR,-9.156878018704159,15.634534692352775,0.0
HG00146,EUR,-9.005058655172625,12.177347127817683,0.0012073710629662351
HG00148,EUR,-7.556218132864307,15.109675120539467,0.0021508803000668836
HG00149,EUR,-8.923375176534817,15.563084481896363,0.0
HG00150,EUR,-6.691018210247426,13.44168697623193,0.03899390123951779
HG00151,EUR,-9.174285791740546,11.197090154100845,0.009033188297962054
HG00154,EUR,-8.12257445853605,10.914698904265451,0.02523416194867816
HG00155,EUR,-7.07784824268443,15.738259168364074,0.01580464630353434
HG00157,EUR,-8.148974974736404,13.126569832156573,0.016928126191206403
HG00158,EUR,-11.165219405662398,12.993056328436138,0.0
HG00159,EUR,-8.527141378161028,15.851357465209002,0.0
HG00160,EUR,-8.752026372350636,11.439781740415937,0.005182092760846164
HG00171,EUR,-11.015383383562058,13.94143752379119,0.0
HG00173,EUR,-10.515915468386781,7.5040161167269765,0.0042230484908768635
HG00174,EUR,-6.369500331259957,16.995387116166697,0.020873792607700774
HG00176,EUR,-11.973571399685671,13.820703362440975,0.0
HG00177,EUR,-10.623408437256352,10.563911783334675,0.0
HG00178,EUR,-10.708209091931447,13.632655324575254,0.0
HG00179,EUR,-11.56849968750255,11.114697287313902,0.0
HG00180,EUR,-10.878596550727922,11.464879671782064,0.0
HG00181,EUR,-6.449391962409275,14.14298781845055,0.03494902805549007
HG00182,EUR,-10.418780483375329,13.777534079556645,0.0
HG00183,EUR,-8.307030660259487,10.666584279553991,0.015323158460040936
HG00185,EUR,-11.729577136907595,12.698849922474944,0.0
HG00186,EUR,-11.08785980724131,14.422077219898505,0.0
HG00187,EUR,-8.435845095230148,13.517005798579602,0.0
HG00188,EUR,-9.774015387975332,10.18967488100556,0.009049035679391582
HG00189,EUR,-9.516123525039587,12.627503892315179,0.0
HG00190,EUR,-9.672148543425775,14.596697648055434,0.0
HG00231,EUR,-8.431576989666583,18.24643575179532,0.0
HG00232,EUR,-6.273982009826704,11.342180645959429,0.08134141940116042
HG00233,EUR,-9.56781896047096,11.79061237593375,0.0
HG00234,EUR,-7.82222730157939,13.488163234386063,0.009663719669777835
HG00235,EUR,-10.459025293528695,16.272289384011184,0.0
HG00236,EUR,-7.723745367961382,11.791807085648523,0.030724775770952232
HG00237,EUR,-8.27374778771577,14.625845458428508,0.0
HG00238,EUR,-12.882170770598067,11.998864574321875,0.0
HG00239,EUR,-7.504228676730037,13.998272497611557,0.01129691490230727
HG00240,EUR,-10.236325497734752,18.97725398746257,0.0
HG00242,EUR,-9.54638167087283,12.763947027613492,0.0
HG00243,EUR,-9.056538134143423,13.613220767989077,0.0
